study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA576691	SAMN13002089	SRX6971273	SRR10253273	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/073/SRR10253273/SRR10253273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/073/SRR10253273/SRR10253273_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/073/SRR10253273
PRJNA576691	SAMN13002086	SRX6971274	SRR10253274	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/074/SRR10253274/SRR10253274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/074/SRR10253274/SRR10253274_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/074/SRR10253274
PRJNA576691	SAMN13002085	SRX6971275	SRR10253275	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/075/SRR10253275/SRR10253275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/075/SRR10253275/SRR10253275_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/075/SRR10253275
PRJNA576691	SAMN13002084	SRX6971276	SRR10253276	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/076/SRR10253276/SRR10253276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/076/SRR10253276/SRR10253276_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/076/SRR10253276
PRJNA576691	SAMN13002083	SRX6971277	SRR10253277	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/077/SRR10253277/SRR10253277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/077/SRR10253277/SRR10253277_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/077/SRR10253277
PRJNA576691	SAMN13002082	SRX6971278	SRR10253278	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/078/SRR10253278/SRR10253278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/078/SRR10253278/SRR10253278_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/078/SRR10253278
PRJNA576691	SAMN13002088	SRX6971279	SRR10253279	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/079/SRR10253279/SRR10253279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/079/SRR10253279/SRR10253279_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/079/SRR10253279
PRJNA576691	SAMN13002087	SRX6971280	SRR10253280	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/080/SRR10253280/SRR10253280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/080/SRR10253280/SRR10253280_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/080/SRR10253280
PRJNA576691	SAMN13002081	SRX6971281	SRR10253281	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/081/SRR10253281/SRR10253281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/081/SRR10253281/SRR10253281_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/081/SRR10253281
PRJNA576691	SAMN13002080	SRX6971282	SRR10253282	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/082/SRR10253282/SRR10253282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/082/SRR10253282/SRR10253282_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/082/SRR10253282
